0.09 1.99256e-09 9.18226e-09 1.11748e-08
0.091 1.97256e-09 9.20208e-09 1.11746e-08
0.092 1.98174e-09 9.1931e-09 1.11748e-08
0.093 2.01703e-09 9.15833e-09 1.11754e-08
0.094 2.07024e-09 9.10586e-09 1.11761e-08
0.095 2.12957e-09 9.04738e-09 1.11769e-08
0.096 2.1817e-09 8.99604e-09 1.11777e-08
0.097 2.21413e-09 8.96421e-09 1.11783e-08
0.098 2.21741e-09 8.96123e-09 1.11786e-08
0.099 2.18682e-09 8.99176e-09 1.11786e-08
0.1 2.12327e-09 9.05489e-09 1.11782e-08
0.001 -1.64313e-14 1.11671e-08 1.11671e-08
0.002 7.45614e-11 1.10931e-08 1.11677e-08
0.003 2.8933e-10 1.08799e-08 1.11693e-08
0.004 6.18839e-10 1.05529e-08 1.11717e-08
0.005 1.02455e-09 1.01501e-08 1.11746e-08
0.006 1.46021e-09 9.71742e-09 1.11776e-08
0.007 1.87809e-09 9.30224e-09 1.11803e-08
0.008 2.23532e-09 8.94706e-09 1.11824e-08
0.009 2.49935e-09 8.68419e-09 1.11835e-08
0.01 2.65174e-09 8.53196e-09 1.11837e-08
0.011 2.68988e-09 8.49303e-09 1.11829e-08
0.012 2.62627e-09 8.55506e-09 1.11813e-08
0.013 2.48579e-09 8.69348e-09 1.11793e-08
0.014 2.30121e-09 8.87582e-09 1.1177e-08
0.015 2.10796e-09 9.06701e-09 1.1175e-08
0.016 1.93869e-09 9.23468e-09 1.11734e-08
0.017 1.81869e-09 9.35376e-09 1.11724e-08
0.018 1.76271e-09 9.40957e-09 1.11723e-08
0.019 1.7736e-09 9.3992e-09 1.11728e-08
0.02 1.84301e-09 9.33088e-09 1.11739e-08
0.021 1.95365e-09 9.22167e-09 1.11753e-08
0.022 2.08294e-09 9.09389e-09 1.11768e-08
0.023 2.2072e-09 8.97092e-09 1.11781e-08
0.024 2.30581e-09 8.87322e-09 1.1179e-08
0.025 2.36442e-09 8.81497e-09 1.11794e-08
0.026 2.37709e-09 8.80214e-09 1.11792e-08
0.027 2.3466e-09 8.83195e-09 1.11786e-08
0.028 2.28352e-09 8.89402e-09 1.11775e-08
0.029 2.20376e-09 8.97263e-09 1.11764e-08
0.03 2.12543e-09 9.0499e-09 1.11753e-08
0.031 2.06542e-09 9.1091e-09 1.11745e-08
0.032 2.03642e-09 9.13771e-09 1.11741e-08
0.033 2.04471e-09 9.12948e-09 1.11742e-08
0.034 2.08933e-09 9.08538e-09 1.11747e-08
0.035 2.16233e-09 9.01321e-09 1.11755e-08
0.036 2.25054e-09 8.92602e-09 1.11766e-08
0.037 2.33788e-09 8.83967e-09 1.11776e-08
0.038 2.4084e-09 8.76999e-09 1.11784e-08
0.039 2.44891e-09 8.72999e-09 1.11789e-08
0.04 2.45127e-09 8.72774e-09 1.1179e-08
0.041 2.41368e-09 8.76506e-09 1.11787e-08
0.042 2.34068e-09 8.83741e-09 1.11781e-08
0.043 2.24241e-09 8.93481e-09 1.11772e-08
0.044 2.13258e-09 9.04369e-09 1.11763e-08
0.045 2.02624e-09 9.14916e-09 1.11754e-08
0.046 1.93724e-09 9.2375e-09 1.11747e-08
0.047 1.87616e-09 9.2982e-09 1.11744e-08
0.048 1.8489e-09 9.32543e-09 1.11743e-08
0.049 1.85604e-09 9.31854e-09 1.11746e-08
0.05 1.89339e-09 9.28171e-09 1.11751e-08
0.051 1.95303e-09 9.22269e-09 1.11757e-08
0.052 2.02515e-09 9.15118e-09 1.11763e-08
0.053 2.09997e-09 9.07687e-09 1.11768e-08
0.054 2.16939e-09 9.00778e-09 1.11772e-08
0.055 2.22823e-09 8.94906e-09 1.11773e-08
0.056 2.27473e-09 8.90246e-09 1.11772e-08
0.057 2.31029e-09 8.86666e-09 1.1177e-08
0.058 2.33849e-09 8.83819e-09 1.11767e-08
0.059 2.36367e-09 8.81278e-09 1.11764e-08
0.06 2.38946e-09 8.78689e-09 1.11763e-08
0.061 2.41741e-09 8.75902e-09 1.11764e-08
0.062 2.4462e-09 8.73051e-09 1.11767e-08
0.063 2.47143e-09 8.7057e-09 1.11771e-08
0.064 2.48634e-09 8.69131e-09 1.11776e-08
0.065 2.48292e-09 8.6952e-09 1.11781e-08
0.066 2.45373e-09 8.72472e-09 1.11784e-08
0.067 2.39354e-09 8.78499e-09 1.11785e-08
0.068 2.30098e-09 8.87736e-09 1.11783e-08
0.069 2.17934e-09 8.99848e-09 1.11778e-08
0.07 2.03688e-09 9.14015e-09 1.1177e-08
0.071 1.88603e-09 9.29006e-09 1.11761e-08
0.072 1.74187e-09 9.43321e-09 1.11751e-08
0.073 1.62014e-09 9.55406e-09 1.11742e-08
0.074 1.53477e-09 9.63879e-09 1.11736e-08
0.075 1.49582e-09 9.67748e-09 1.11733e-08
0.076 1.5077e-09 9.66572e-09 1.11734e-08
0.077 1.56842e-09 9.60551e-09 1.11739e-08
0.078 1.66971e-09 9.50508e-09 1.11748e-08
0.079 1.79805e-09 9.37779e-09 1.11758e-08
0.08 1.93674e-09 9.24021e-09 1.11769e-08
0.081 2.06823e-09 9.1097e-09 1.11779e-08
0.082 2.17683e-09 9.00185e-09 1.11787e-08
0.083 2.25083e-09 8.92822e-09 1.11791e-08
0.084 2.28429e-09 8.89475e-09 1.1179e-08
0.085 2.2776e-09 8.90101e-09 1.11786e-08
0.086 2.23731e-09 8.94059e-09 1.11779e-08
0.087 2.1747e-09 9.00231e-09 1.1177e-08
0.088 2.10382e-09 9.07229e-09 1.11761e-08
0.089 2.03902e-09 9.13632e-09 1.11753e-08
0.09 1.99256e-09 9.18226e-09 1.11748e-08
0.091 1.97256e-09 9.20208e-09 1.11746e-08
0.092 1.98174e-09 9.1931e-09 1.11748e-08
0.093 2.01703e-09 9.15833e-09 1.11754e-08
0.094 2.07024e-09 9.10586e-09 1.11761e-08
0.095 2.12957e-09 9.04738e-09 1.11769e-08
0.096 2.1817e-09 8.99604e-09 1.11777e-08
0.097 2.21413e-09 8.96421e-09 1.11783e-08
0.098 2.21741e-09 8.96123e-09 1.11786e-08
0.099 2.18682e-09 8.99176e-09 1.11786e-08
0.1 2.12327e-09 9.05489e-09 1.11782e-08
0.001 592.825 14.2175 607.042
0.002 500.195 100.459 600.654
0.003 400.744 199.843 600.588
0.004 307.049 292.305 599.354
0.005 235.964 362.144 598.108
0.006 203.766 395.039 598.805
0.007 201.952 396.521 598.473
0.008 229.832 370.35 600.183
0.009 264.226 336.644 600.87
0.01 293.022 308.018 601.04
